City Name,Max Temperature,Latitude,% Cloudiness,% Humidity,Wind Speed
Port Alfred,60.32,-33.59,95,0,5.64
Port Elizabeth,50,39.31,93,90,9.44
Kieta,83.18,-6.22,98,8,2.39
Airai,73.41,-8.93,91,92,1.72
Hurricane,48.2,37.18,19,1,2.17
New Norfolk,62.6,-42.78,45,20,6.93
Zaria,78.14,11.11,42,36,5.86
Castro,61.49,-42.48,95,92,1.72
Lagoa,55.4,37.14,100,75,9.17
Georgetown,75.2,6.8,88,75,4.7
Leningradskiy,4.43,69.38,97,56,31.36
Dikson,3.08,73.51,87,32,19.17
Zambezi,70.4,-13.55,81,68,8.1
Albany,41,42.65,80,90,8.05
Mataura,57.93,-46.19,79,48,7.76
Zhezkazgan,26.6,47.8,100,90,11.18
Mahebourg,77,-20.41,94,40,6.42
Pangody,-23.21,65.85,35,44,3.4
Albany,41,42.65,80,90,8.05
Thompson,8.6,55.74,84,75,6.93
Namibe,76.29,-15.19,100,0,5.86
Busselton,66.21,-33.64,100,20,12.35
Hermanus,50.73,-34.42,84,0,5.3
Rikitea,79.04,-23.12,100,0,9.22
Sao Joao da Barra,78.63,-21.64,100,92,10.67
College,10.4,64.86,65,75,12.75
Esperance,75.2,10.24,83,75,5.82
Longyearbyen,39.2,78.22,64,40,20.8
Nago,30.2,45.88,84,90,11.41
Bursa,37.4,40.18,86,40,13.87
Busselton,66.21,-33.64,100,20,12.35
Port Alfred,60.32,-33.59,95,0,5.64
Hermanus,50.73,-34.42,84,0,5.3
Jalu,59.24,29.03,74,0,7.76
Kaitangata,56.45,-46.28,78,56,12.8
Keflavik,46.4,64,93,75,36.91
Cabo San Lucas,69.8,22.89,52,20,10.29
The Valley,75.2,18.22,73,20,11.41
Geraldton,23,49.72,92,90,9.17
Kogon,55.4,39.73,82,90,9.17
Coahuayana,84.48,18.62,27,0,2.73
Bonfim,68.28,-20.33,89,80,4.74
Cockburn Town,75.98,21.46,100,80,19.73
Georgetown,75.2,6.8,88,75,4.7
Vaini,59.19,15.34,38,0,5.08
Port Alfred,60.32,-33.59,95,0,5.64
Ushuaia,55.4,-54.81,50,40,18.34
Nanortalik,11.76,60.14,100,0,13.91
Iqaluit,3.2,63.75,71,20,13.87
Nome,71.6,30.04,93,90,14.99
Cooma,52.76,-36.24,100,92,5.97
San Patricio,79.49,-26.98,61,44,4.18
Airai,73.41,-8.93,91,92,1.72
Cape Town,62.6,-33.93,63,0,9.17
Rikitea,79.04,-23.12,100,0,9.22
Vaini,59.19,15.34,38,0,5.08
Ushuaia,55.4,-54.81,50,40,18.34
Provideniya,3.2,64.42,71,75,13.42
Ribeira Grande,57.53,38.52,100,92,40.87
Mar del Plata,75.26,-46.43,36,0,10
Khatanga,-22.71,71.98,34,0,11.23
Kaeo,74.31,-35.1,67,8,7.2
Beaverlodge,26.6,55.21,73,90,9.17
Rikitea,79.04,-23.12,100,0,9.22
Vaitape,83.31,-16.52,96,48,13.69
Longyearbyen,39.2,78.22,64,40,20.8
Puerto Ayora,78.8,-0.74,78,75,3.36
Bluff,73.82,-23.58,100,88,4.63
Makasar,77,-6.28,94,40,3.4
Hobart,62.6,-42.88,45,20,6.93
Anadyr,-16.61,64.73,75,8,11.18
Lobito,65.36,-12.35,94,0,2.39
Pont-Audemer,30.2,49.35,50,0,10.29
Butaritari,82.82,3.07,100,80,15.7
Marondera,64.4,-18.19,93,0,5.82
Vestmannaeyjar,44.21,63.44,90,80,30.24
Cidreira,73.01,-30.17,78,24,10.78
Rikitea,79.04,-23.12,100,0,9.22
Provideniya,3.2,64.42,71,75,13.42
Albany,41,42.65,80,90,8.05
Mahebourg,77,-20.41,94,40,6.42
Mataura,57.93,-46.19,79,48,7.76
Malanje,68.28,-9.54,87,92,5.19
Chuy,66.62,-33.69,85,8,7.65
Bathsheba,77.69,13.22,100,0,17.27
Jamestown,64.19,-33.21,68,0,5.64
Padang,82.59,-0.92,100,12,4.29
Soubre,77.64,5.79,83,88,5.86
Rikitea,79.04,-23.12,100,0,9.22
Rikitea,79.04,-23.12,100,0,9.22
Jamestown,64.19,-33.21,68,0,5.64
Tuktoyaktuk,5,69.44,84,90,32.21
Bredasdorp,64.4,-34.53,63,0,12.75
Cleburne,66.2,32.35,59,1,8.05
Harer,17.88,42.19,75,20,7.87
Mataura,57.93,-46.19,79,48,7.76
Hermanus,50.73,-34.42,84,0,5.3
Oussouye,68,12.49,82,0,4.7
Broome,32,52.47,77,36,10.29
Laguna,71.6,27.52,33,75,9.17
Rikitea,79.04,-23.12,100,0,9.22
Nhulunbuy,87.8,-12.18,66,40,6.93
Tromso,10.4,69.65,78,0,3.36
The Valley,75.2,18.22,73,20,11.41
Mar del Plata,75.26,-46.43,36,0,10
Puerto Ayora,78.8,-0.74,78,75,3.36
Abu Kamal,51.5,34.45,80,76,6.08
Nikolskoye,8.6,59.7,65,75,2.24
Carnarvon,48.17,-30.97,60,0,11.45
Mataura,57.93,-46.19,79,48,7.76
Zarya,20.18,45.67,92,92,10.11
Santa Helena,72.24,-2.23,97,76,3.06
Puerto Ayora,78.8,-0.74,78,75,3.36
Rikitea,79.04,-23.12,100,0,9.22
Bonthe,78.95,7.53,76,0,6.2
Vardo,51.8,39.62,100,1,3.36
Mar del Plata,75.26,-46.43,36,0,10
Nikolskoye,8.6,59.7,65,75,2.24
Albany,41,42.65,80,90,8.05
Buraydah,59,26.33,87,0,5.82
Muhos,17.6,64.81,85,76,9.17
Chagoda,-7.28,59.16,77,48,2.73
Punta Arenas,57.2,-53.16,54,75,16.11
Jonkoping,19.4,57.78,85,75,12.75
Port Augusta,69.8,-32.49,56,0,6.93
Quang Ngai,66.03,15.12,98,100,2.73
Mahebourg,77,-20.41,94,40,6.42
Saint-Philippe,37.4,45.36,86,40,24.16
Port Alfred,60.32,-33.59,95,0,5.64
Qaanaaq,-8.45,77.48,94,48,11.9
College,10.4,64.86,65,75,12.75
Biltine,69.81,14.53,31,0,5.75
Srivardhan,69.36,18.03,74,0,3.62
Kingaroy,75.84,-26.54,98,68,7.65
Puerto Ayora,78.8,-0.74,78,75,3.36
Sao Filipe,67.88,14.9,100,0,4.97
Mar del Plata,75.26,-46.43,36,0,10
Jamestown,64.19,-33.21,68,0,5.64
Flinders,61.08,-34.58,100,92,7.87
Yerbogachen,-12.5,61.28,78,64,3.51
Victoria,78.8,5.28,100,75,4.18
Camacha,57.2,33.08,82,75,10.29
Khatanga,-22.71,71.98,34,0,11.23
Ancud,62.12,-41.87,94,68,2.62
Tasiilaq,28.4,65.61,79,48,4.7
Xichang,33.95,27.88,86,0,1.61
Puerto Ayora,78.8,-0.74,78,75,3.36
Jamestown,64.19,-33.21,68,0,5.64
Cabedelo,77,-6.97,78,75,3.36
Cape Town,62.6,-33.93,63,0,9.17
Hermanus,50.73,-34.42,84,0,5.3
Hermanus,50.73,-34.42,84,0,5.3
Arraial do Cabo,77.6,-22.97,90,80,7.65
Salumbar,65.9,24.14,57,0,6.42
Lompoc,60.8,34.64,48,1,14.99
Mackay,30.2,53.65,68,75,9.17
Puerto Ayora,78.8,-0.74,78,75,3.36
Piacabucu,77.64,-10.41,77,0,10.22
Ushuaia,55.4,-54.81,50,40,18.34
Pisco,75.2,-13.71,73,0,20.8
Chuy,66.62,-33.69,85,8,7.65
Nanortalik,11.76,60.14,100,0,13.91
Bourail,81.78,-21.57,79,64,3.51
Antofagasta,69.8,-23.65,73,20,10.29
Hilo,77,19.71,78,90,11.41
Gushikawa,66.2,26.35,68,90,16.11
Paamiut,13.43,61.99,100,0,18.72
Wanaka,56.58,-44.7,58,0,2.62
Hilo,77,19.71,78,90,11.41
Ushuaia,55.4,-54.81,50,40,18.34
Husavik,18.92,50.56,85,32,5.75
Shagonar,3.8,51.54,80,68,2.62
Port Elizabeth,50,39.31,93,90,9.44
Rikitea,79.04,-23.12,100,0,9.22
Ushuaia,55.4,-54.81,50,40,18.34
Rikitea,79.04,-23.12,100,0,9.22
Tuktoyaktuk,5,69.44,84,90,32.21
Mataura,57.93,-46.19,79,48,7.76
Fortuna,44.6,38.18,56,0,6.93
Ushuaia,55.4,-54.81,50,40,18.34
Clovis,62.6,36.83,26,1,6.87
Bredasdorp,64.4,-34.53,63,0,12.75
Matamoros,80.6,25.87,83,40,11.41
Ushuaia,55.4,-54.81,50,40,18.34
Raudeberg,35.6,61.99,100,92,4.7
Rikitea,79.04,-23.12,100,0,9.22
Albany,41,42.65,80,90,8.05
Vaini,59.19,15.34,38,0,5.08
Gobabis,66.2,-22.45,45,0,2.24
Vaini,59.19,15.34,38,0,5.08
Lorengau,84.08,-2.02,97,0,4.63
Kununurra,84.2,-15.77,74,40,8.05
Hermanus,50.73,-34.42,84,0,5.3
Cape Town,62.6,-33.93,63,0,9.17
Airai,73.41,-8.93,91,92,1.72
Vaini,59.19,15.34,38,0,5.08
Necochea,72.51,-38.55,55,0,10
Bluff,73.82,-23.58,100,88,4.63
New Norfolk,62.6,-42.78,45,20,6.93
Koslan,-6.69,63.46,60,36,5.08
Kushiro,24.8,43.11,45,20,5.82
Melivoia,37.4,41.33,92,90,16.11
Atuona,82.37,-9.8,97,8,13.47
Avarua,84.2,-21.21,74,40,11.41
Ratnagiri,79.89,16.98,94,0,6.64
Plettenberg Bay,64.37,-34.05,100,0,13.24
Tasiilaq,28.4,65.61,79,48,4.7
Arraial do Cabo,77.6,-22.97,90,80,7.65
Ushuaia,55.4,-54.81,50,40,18.34
Hobart,62.6,-42.88,45,20,6.93
Yellowknife,5,62.45,71,20,4.7
Kaka,42.86,37.35,100,88,1.5
Puerto Ayora,78.8,-0.74,78,75,3.36
Punta Arenas,57.2,-53.16,54,75,16.11
Bambous Virieux,77,-20.34,94,40,6.42
Suntar,-22.94,62.16,68,20,4.18
Mataura,57.93,-46.19,79,48,7.76
Hermanus,50.73,-34.42,84,0,5.3
Kapaa,73.4,22.08,94,90,4.7
Atar,59.73,20.52,59,0,7.87
Ust-Maya,-32.39,60.42,56,0,2.62
Ushuaia,55.4,-54.81,50,40,18.34
Bambous Virieux,77,-20.34,94,40,6.42
Vestmannaeyjar,44.21,63.44,90,80,30.24
Kieta,83.18,-6.22,98,8,2.39
Nikolskoye,8.6,59.7,65,75,2.24
Atuona,82.37,-9.8,97,8,13.47
Adelaide,64.4,-34.93,55,0,8.05
Hirara,68,24.8,77,75,13.87
Williston,28.4,48.15,63,1,11.41
Grand Island,42.8,40.92,59,1,8.05
Hualmay,70.85,-11.1,77,36,4.63
Clyde River,-23.81,70.47,67,90,2.24
Mataura,57.93,-46.19,79,48,7.76
San Patricio,79.49,-26.98,61,44,4.18
Albany,41,42.65,80,90,8.05
Ushuaia,55.4,-54.81,50,40,18.34
Mataura,57.93,-46.19,79,48,7.76
Hilo,77,19.71,78,90,11.41
Kemi,15.8,65.74,85,90,11.41
Vaini,59.19,15.34,38,0,5.08
Hobart,62.6,-42.88,45,20,6.93
Rikitea,79.04,-23.12,100,0,9.22
Rikitea,79.04,-23.12,100,0,9.22
Norman Wells,8.6,65.28,78,75,4.7
Busselton,66.21,-33.64,100,20,12.35
Necochea,72.51,-38.55,55,0,10
Tala,78.8,20.65,21,40,14.99
Padang,82.59,-0.92,100,12,4.29
Guerrero Negro,71.48,27.97,34,0,3.62
Lima,62.88,-12.06,77,88,2.51
Albany,41,42.65,80,90,8.05
Danville,66.2,36.59,72,90,5.82
Fortuna,44.6,38.18,56,0,6.93
Tuktoyaktuk,5,69.44,84,90,32.21
Peniche,51.8,39.36,87,0,4.7
Mataura,57.93,-46.19,79,48,7.76
Severo-Kurilsk,24.5,50.68,100,20,12.91
Geraldton,23,49.72,92,90,9.17
Rorvik,11.94,64.86,100,0,5.86
Rikitea,79.04,-23.12,100,0,9.22
Bambous Virieux,77,-20.34,94,40,6.42
Abnub,61.71,27.27,50,44,3.18
Mataura,57.93,-46.19,79,48,7.76
Upernavik,-2.6,72.79,99,44,15.82
Airai,73.41,-8.93,91,92,1.72
Hithadhoo,83.63,-0.6,100,48,3.62
Caravelas,81.69,-17.73,100,76,14.58
Punta Arenas,57.2,-53.16,54,75,16.11
Rikitea,79.04,-23.12,100,0,9.22
Bilibino,-18.84,68.06,79,36,3.18
Rikitea,79.04,-23.12,100,0,9.22
Avarua,84.2,-21.21,74,40,11.41
Davlekanovo,5,54.22,84,90,4.47
Chanthaburi,75.2,12.61,100,40,4.07
Busselton,66.21,-33.64,100,20,12.35
Chapais,23,49.78,92,90,17.22
Vanavara,-9.39,60.35,66,68,3.18
Berlevag,29.72,70.86,100,88,11.56
Bluff,73.82,-23.58,100,88,4.63
Tura,61.13,25.52,97,88,2.28
Prince Rupert,39.2,54.32,93,90,11.41
Hilo,77,19.71,78,90,11.41
Dikson,3.08,73.51,87,32,19.17
Nikolskoye,8.6,59.7,65,75,2.24
Rikitea,79.04,-23.12,100,0,9.22
Bilma,66.48,18.69,45,0,2.84
Kalabo,65.94,-15,96,92,6.64
Henties Bay,58.97,-22.12,100,0,2.39
Iquitos,75.2,-3.75,83,90,11.41
Hermanus,50.73,-34.42,84,0,5.3
Punta Arenas,57.2,-53.16,54,75,16.11
Moose Factory,30.2,51.26,86,90,12.75
Butaritari,82.82,3.07,100,80,15.7
Salinopolis,78.81,-0.61,100,80,8.21
Kapaa,73.4,22.08,94,90,4.7
Cape Town,62.6,-33.93,63,0,9.17
Marsa Matruh,57.93,31.35,48,92,10.89
Punta Arenas,57.2,-53.16,54,75,16.11
Torbay,15.8,47.66,72,20,12.75
Zhezkazgan,26.6,47.8,100,90,11.18
Bluff,73.82,-23.58,100,88,4.63
Lebu,54.47,8.96,82,88,0.94
Takoradi,79.4,4.89,99,44,6.76
Ponta do Sol,67.34,-20.63,99,92,3.18
Bambous Virieux,77,-20.34,94,40,6.42
Rikitea,79.04,-23.12,100,0,9.22
Rikitea,79.04,-23.12,100,0,9.22
Rikitea,79.04,-23.12,100,0,9.22
